"","X","Var1","Freq","probability"
"1",1,1,89,1.17695214105793
"2",2,2,106,1.40176322418136
"3",3,3,104,1.37531486146096
"4",4,4,64,0.846347607052897
"5",5,5,58,0.767002518891688
"6",6,6,118,1.56045340050378
"7",7,7,80,1.05793450881612
"8",8,8,65,0.859571788413098
"9",9,9,81,1.07115869017632
"10",10,10,52,0.687657430730479
"11",11,11,73,0.96536523929471
"12",12,12,94,1.24307304785894
"13",13,13,67,0.886020151133501
"14",14,14,54,0.714105793450882
"15",15,15,54,0.714105793450882
"16",16,16,78,1.03148614609572
"17",17,17,66,0.8727959697733
"18",18,18,61,0.806675062972292
"19",19,19,70,0.925692695214106
"20",20,20,97,1.28274559193955
"21",21,21,57,0.753778337531486
