"","x"
"1",140
"2",1226
"3",1310
"4",1100
"5",300
"6",1200
"7",2245
"8",1000
"9",1230
"10",100
"11",230
"12",1221
"13",2135
"14",1100
"15",900
"16",2350
"17",1226
"18",200
"19",1700
"20",2359
"21",400
"22",1200
"23",1430
"24",1600
"25",1200
"26",1130
"27",1930
"28",500
"29",2045
"30",2300
"31",840
"32",1530
"33",1200
"34",1300
"35",10
"36",2010
"37",1200
"38",2220
"39",1245
"40",1200
"41",230
"42",100
"43",1
"44",2000
"45",1500
"46",800
"47",2345
"48",30
"49",1800
"50",1200
"51",715
"52",1200
"53",1200
"54",1200
"55",1745
"56",100
"57",430
"58",2345
"59",105
"60",1320
"61",2000
"62",2100
"63",2200
"64",1900
"65",1700
"66",100
"67",1415
"68",1400
"69",2335
"70",1800
"71",1300
"72",1520
"73",2340
"74",2030
"75",2200
"76",815
"77",1800
"78",1400
"79",1900
"80",2200
"81",1700
"82",1530
"83",1240
"84",2030
"85",1015
"86",1600
"87",1130
"88",1200
"89",1200
"90",130
"91",1300
"92",1530
"93",400
"94",2230
"95",2050
"96",100
"97",1
"98",730
"99",2000
"100",958
"101",1430
"102",1200
"103",1700
"104",1730
"105",200
"106",1600
"107",1430
"108",1240
"109",720
"110",2040
"111",1210
"112",2300
"113",2105
"114",1000
"115",1600
"116",1600
"117",1200
"118",30
"119",1115
"120",105
"121",200
"122",1800
"123",1700
"124",1400
"125",700
"126",2100
"127",1615
"128",1320
"129",1
"130",1050
"131",1200
"132",1430
"133",1130
"134",1200
"135",1800
"136",1030
"137",1800
"138",20
"139",1230
"140",1410
"141",1530
"142",1930
"143",2300
"144",2150
"145",1945
"146",1145
"147",1735
"148",1730
"149",730
"150",1850
"151",1
"152",1130
"153",2000
"154",1530
"155",820
"156",1730
"157",2359
"158",315
"159",1455
"160",200
"161",2330
"162",1550
"163",1
"164",1200
"165",2100
"166",1010
"167",2337
"168",400
"169",1
"170",1
"171",800
"172",1000
"173",825
"174",1230
"175",750
"176",2320
"177",100
"178",1800
"179",1630
"180",1
"181",1930
"182",1800
"183",2100
"184",1
"185",1200
"186",200
"187",30
"188",2000
"189",2030
"190",2130
"191",800
"192",2110
"193",1520
"194",1530
"195",750
"196",945
"197",1400
"198",2000
"199",130
"200",1200
"201",2030
"202",1315
"203",330
"204",2300
"205",1000
"206",1350
"207",830
"208",200
"209",1830
"210",1420
"211",10
"212",930
"213",2000
"214",1700
"215",2330
"216",935
"217",2200
"218",2040
"219",2010
"220",1500
"221",1600
"222",1428
"223",1200
"224",2230
"225",800
"226",800
"227",1830
"228",1300
"229",1715
"230",755
"231",800
"232",1300
"233",2025
"234",800
"235",745
"236",2300
"237",230
"238",2100
"239",345
"240",1200
"241",1200
"242",1630
"243",830
"244",1800
"245",700
"246",1000
"247",2300
"248",1200
"249",130
"250",1200
"251",1430
"252",1500
"253",1300
"254",1400
"255",345
"256",830
"257",945
"258",1400
"259",1
"260",1200
"261",530
"262",1245
"263",1930
"264",1300
"265",100
"266",2000
"267",1200
"268",1350
"269",430
"270",1715
"271",1230
"272",800
"273",2300
"274",2217
"275",810
"276",1100
"277",5
"278",2200
"279",1000
"280",330
"281",2330
"282",1300
